State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K,PH,TEM,,,,
Gujarat,AHMADABAD,1997,Kharif     ,Arhar/Tur,2900,2200,82.25716,71.49022,11.75909,4.570358,25.33293,,,,
Gujarat,AHMADABAD,1998,Kharif     ,Arhar/Tur,3300,3100,98.85639,62.19218,14.22135,4.840214,28.47534,,,,
Gujarat,AHMADABAD,1999,Kharif     ,Arhar/Tur,4400,3500,99.66488,73.66283,14.03796,4.106318,30.27729,,,,
Gujarat,AHMADABAD,2000,Kharif     ,Arhar/Tur,4600,1500,83.03626,72.92405,10.92223,6.460098,32.867,,,,
Gujarat,AHMADABAD,2001,Kharif     ,Arhar/Tur,2800,1800,81.94968,74.87006,19.0649,4.579059,34.33261,,,,
Gujarat,AHMADABAD,2002,Kharif     ,Arhar/Tur,3100,1900,100.1255,64.97286,12.15987,3.904374,27.18482,,,,
Gujarat,AHMADABAD,2003,Kharif     ,Arhar/Tur,2600,2300,74.16433,65.91533,17.15561,6.638388,24.07165,,,,
Gujarat,AHMADABAD,2004,Kharif     ,Arhar/Tur,1200,1200,79.09092,74.38771,15.60396,4.940439,14.20306,,,,
Gujarat,AHMADABAD,2005,Kharif     ,Arhar/Tur,2000,1900,88.29341,45.76811,10.56516,5.057689,31.63182,,,,
Gujarat,AHMADABAD,2006,Kharif     ,Arhar/Tur,1500,1300,86.79926,67.20813,15.41077,4.990343,17.88637,,,,
Gujarat,AHMADABAD,2007,Kharif     ,Arhar/Tur,1800,2000,104.0866,56.49903,12.80121,3.939657,28.65738,,,,
Gujarat,AHMADABAD,2008,Kharif     ,Arhar/Tur,1400,1400,96.92325,62.05606,13.15246,4.833098,30.57587,,,,
Gujarat,AHMADABAD,2009,Kharif     ,Arhar/Tur,1200,1000,101.21,71.32891,11.24335,4.720078,18.0152,,,,
Gujarat,AHMADABAD,2010,Kharif     ,Arhar/Tur,1100,1100,86.65262,71.35069,7.553594,5.221626,22.08983,,,,
Gujarat,AHMADABAD,2011,Kharif     ,Arhar/Tur,1100,1200,78.90681,63.10299,19.8881,6.233483,35.1182,,,,
Gujarat,AHMADABAD,2012,Kharif     ,Arhar/Tur,1000,900,85.29081,68.98706,12.26249,3.888501,33.7628,,,,
Gujarat,AMRELI,1997,Kharif     ,Arhar/Tur,1100,800,86.31681,70.27031,16.5204,6.511584,32.25292,,,,
Gujarat,AMRELI,1998,Kharif     ,Arhar/Tur,1300,1200,98.09338,76.28372,6.88927,3.200382,23.76599,,,,
Gujarat,AMRELI,1999,Kharif     ,Arhar/Tur,1000,800,92.13857,62.53507,13.71769,5.706337,28.5284,,,,
Gujarat,AMRELI,2000,Kharif     ,Arhar/Tur,1000,400,69.91325,64.23551,18.01465,5.786556,29.49895,,,,
Gujarat,AMRELI,2001,Kharif     ,Arhar/Tur,1000,600,78.8878,63.87111,13.95358,4.763143,28.77671,,,,
Gujarat,AMRELI,2002,Kharif     ,Arhar/Tur,400,300,89.70904,59.01973,13.24653,6.105612,33.10975,,,,
Gujarat,AMRELI,2003,Kharif     ,Arhar/Tur,1100,900,88.91808,42.33482,21.50747,5.122119,32.47444,,,,
Gujarat,AMRELI,2004,Kharif     ,Arhar/Tur,1500,1400,95.03192,72.83159,16.35909,4.409045,24.42722,,,,
Gujarat,AMRELI,2005,Kharif     ,Arhar/Tur,900,900,100.091,62.13379,10.51471,5.408114,17.70428,,,,
Gujarat,AMRELI,2006,Kharif     ,Arhar/Tur,900,800,93.67872,50.15421,17.37757,5.947033,26.15422,,,,
Gujarat,AMRELI,2007,Kharif     ,Arhar/Tur,700,800,97.38037,62.92483,18.02826,3.891379,25.8763,,,,
Gujarat,AMRELI,2008,Kharif     ,Arhar/Tur,600,600,97.77075,57.18223,13.56354,4.721694,35.37195,,,,
Gujarat,AMRELI,2009,Kharif     ,Arhar/Tur,600,500,94.7294,103.9667,14.74893,5.102591,36.56439,,,,
Gujarat,AMRELI,2010,Kharif     ,Arhar/Tur,700,700,90.47139,49.50268,14.38207,4.305307,27.53492,,,,
Gujarat,AMRELI,2011,Kharif     ,Arhar/Tur,900,900,88.86906,67.0838,13.34712,5.03642,32.87746,,,,
Gujarat,AMRELI,2012,Kharif     ,Arhar/Tur,800,800,67.34195,57.07413,18.72175,4.329466,30.29814,,,,
Gujarat,ANAND,2003,Kharif     ,Arhar/Tur,1100,900,84.735,55.86577,15.52684,7.137826,23.28625,,,,
Gujarat,ANAND,2004,Kharif     ,Arhar/Tur,1400,1300,84.00474,41.39694,18.56038,5.929213,24.29575,,,,
Gujarat,ANAND,2005,Kharif     ,Arhar/Tur,1100,1100,82.9243,59.76701,12.78574,3.428176,37.61408,,,,
Gujarat,ANAND,2006,Kharif     ,Arhar/Tur,900,700,101.4513,47.19359,7.861746,4.484286,26.05044,,,,
Gujarat,ANAND,2007,Kharif     ,Arhar/Tur,1000,1100,101.5793,57.92818,15.57488,4.389684,11.76938,,,,
Gujarat,ANAND,2008,Kharif     ,Arhar/Tur,1100,1000,80.79849,63.76631,8.106665,4.910993,21.26107,,,,
Gujarat,ANAND,2009,Kharif     ,Arhar/Tur,900,800,108.4187,72.05006,14.61284,6.496751,24.25621,,,,
Gujarat,ANAND,2010,Kharif     ,Arhar/Tur,900,900,79.89442,68.3561,9.100485,4.367241,22.17289,,,,
Gujarat,ANAND,2011,Kharif     ,Arhar/Tur,800,800,94.67311,70.3052,16.25438,5.685313,27.45183,,,,
Gujarat,ANAND,2012,Kharif     ,Arhar/Tur,1300,1300,92.01341,49.61864,16.98515,5.445096,23.53183,,,,
Gujarat,BANAS KANTHA,1997,Kharif     ,Arhar/Tur,5100,3800,97.69499,73.23749,12.34654,5.882301,34.37509,,,,
Gujarat,BANAS KANTHA,1998,Kharif     ,Arhar/Tur,5600,5300,95.54709,91.66007,17.8584,4.818816,32.60834,,,,
